taxon_name,description
Opuntia aurantiaca,"Low, divaricately branched, spreading to suberect shrub 0.3-0.6 m high (up to 2 m high when supported by other vegetation). Segments covered by soil may lose thorns and resemble an underground tuber, with fibrous roots. Lower (older) stem segments subcylindric. Stem segments (terminal) easily detached, subcylindric to cylindric or somewhat linear to oblong and somewhat laterally compresed, linear to oblong, 3.5-30 cm long, 1.5-4 cm wide, 1-1.5 cm thick, not tuberculate, bright green, sometimes with reddish purplish tinges, glossy, glabrous. Areoles mostly circular or subcircular to elliptic, 3.5-5 mm long, 2-3 mm wide, filled with white to pale brown wool and glochids, 5-25 mm apart. Leaves succulent, terete, conical, c. 3-4 mm long, caducous. Spines spreading, 1-7 per areole on most areoles, the longer spines 10-40 mm long, 0.6-0.8 mm wide near base, rigid, minutely barbed near apex, red to red-brown, ageing white to brownish, with 1-3, shorter, thin, weak spines. Glochids 0.7-1.5 mm long, pale brown. Flowers 25-60 mm diam.; outer tepals reduced, succulent, green or tinged reddish green; inner tepals mid to deep yellow, spreading, obovate, 10-30 mm long, the apex obtuse with or without a short mucro, or emarginate; staminal filaments pale yellow or pale creamish, anthers pale yellow; style pale yellow or pale creamish, stigma lobes pale yellow; pericarpel (at anthesis) smooth, spiny. Fruit solitary or sometimes proliferating, obovoid to somewhat pyriform, 2.5-3.5 cm long, 1.5-1.8 cm diam., not tuberculate, spiny, green to reddish purple, fleshy but not juicy, indehiscent. Seeds not seen."
Acer palmatum,"Wide-crowned, shrub or deciduous tree to c. 7 m high; andromonoecious. Leaves: lamina palmately 5 (7-11)-lobed, 5-10 cm long and wide, nearly truncate at base, virtually glabrous, usually with a tuft of short hairs near the attachment of the petiole; lobes typically divided to within c. 1 cm of petiole, occasionally completely divided, margins irregularly serrate; petiole 15-35 mm long. Flowers in short, semi-pendent, terminal racemes to c. 4 cm long, appearing with or before leaves; pedicels slender, 3-6 mm long; sepals narrowly obovate, c. 3 mm long, purplish red; petals broadly obovate, shorter than sepals, pale yellowish or tinged pink; nectary disc annular; stamens 8, c. 4 mm long in male flowers, shorter in female flowers, inserted within disc; ovary glabrous. Samaras c. 1.5 cm long, the seed compartment broadly ellipsoid, c. 4 mm long, wings spreading at an obtuse angle."
Leptinella drummondii,"Plants with stems villous. Leaves to c. 7 cm long, l:w ratio c. 3-5, 2- or 3-pinnatisect, abruptly dilated basally to form sheath, with scattered or sparse hairs; primary segments in distal 1/3-1/2, elliptic to sub-orbicular in outline, with secondary segments arising throughout length of primary segments. Capitula 2-4 mm diam.; peduncle to 7 cm long at anthesis, c. 0.5 mm diam., sparsely to densely villous; involucral bracts c. 6-12, broadly elliptic or orbicular, 1.5-2 mm long, rounded apically, glabrous or sparsely hairy. Marginal floret corolla broader than long. Disc floret corolla c. 1.5 mm long. Achenes not seen."
Acacia ridleyana,"Sprawling spreading shrub 0.2-0.9 m high. Branchlets obviously hirsutellous to pubescent, rarely glabrous. Stipules persistent, narrowly triangular, to 2.5 mm long. Phyllodes ascending to erect, narrowly oblong to linear-oblanceolate, ± sigmoidally curved, sometimes straight, 12-25 mm long, 2-3.5 mm wide, coriaceous, with indumentum as on branchlets but sometimes only raised hair-bases evident, with normally 3 distant, strongly raised veins per face; tip curved or occasionally straight, acute to subobtuse, typically obliquely and ± pungent. Inflorescences simple, 1 per node; peduncles 10-20 mm long, with indumentum as on branchlets; heads globular, 5-7 mm diam., 16-30-flowered, ± golden. Flowers 5-merous; sepals free, 1/2-3/4 petal length. Pods compressed-cylindrical, ± curved, to 5.5 cm long, 3.5-4 mm diam., rigid-coriaceous, finely longitudinally striate, with indumentum as on branchlets. Seeds longitudinal, ovate, ± 2.5 mm long, mottled darker and lighter brown, arillate."
Azolla rubra,"Plants ovate in outline, branching irregularly; roots simple. Leaves triangular; apex rounded; margins membranous and translucent; surface smooth, bright red or green. Microsporangiate massulae spherical, prominently barbed on all surfaces. Megasporocarps brown, partially obscured by leaf lobe. Megasporangia each with 3 apical swimming floats. Microsporocarps are pale yellow and very obvious on the undersides of plants, but the dark brown megasporocarps are usually obscured by the lower leaf lobe."
Cymbonotus preissianus,"Herbs to 30 cm high. Leaves erect or spreading, ovate, lanceolate or elliptic, 2-30 cm long, 2-10 cm wide, coarsely toothed or pinnatisect; adaxial surface dark green, sparsely hairy with short coarse hairs or nearly glabrous; abaxial surface densely covered with white matted hairs. Capitula 12-30 mm diam.; peduncle 0-15 cm long; involucral bracts with dense cottony hairs on outer face, often obscuring glands; outer bracts spreading. Ray florets 10-20; ligule linear to oblanceolate, 6-20 mm long, 1-4 mm wide; corolla lobes 0.2-1 mm long, yellow. Disc florets 10-40; corolla dilated above a narrow base, 2-4 mm long, yellow, glandular; style branches c. 3 mm long. Achenes obovoid, 2.5-4.0 mm long, 1.0-1.4 mm wide, straight or slightly curved, with corolla insertion slightly eccentric, transversely wrinkled throughout, brown to black."
Hakea stenocarpa,"Bushy shrub, 0.5-1 m tall, resprouting from base. Branchlets ±glabrous at flowering. Leaves flexible, linear, flat, twisted at base and often spirally twisted or curled along length, 6-11 cm long, 2-7 mm wide, ±glabrous but papillose; marginal veins prominent; midvein prominent above and below; pinnate secondary veins scarcely visible. Inflorescence a solitary axillary umbelliform raceme, with 14-20 flowers; pedicels cream-white, glabrous. Perianth cream-white. Pistil 4.4-5 mm long; gland a small flap, c. 0.5 mm high. Fruit subsessile, obliquely narrowly ovate to almost linear, slightly to markedly curved, 2.8-3 cm long, 0.6-0.8 cm wide, with long narrow beak grading into a fragile slender apiculum. Seed obliquely narrowly elliptic, 16-17.5 mm long; wing extending more broadly or only down adaxial side of body, blackish brown."
Phebalium clavatum,"Erect pyramidal shrub to 1.3 m high. Branchlets terete, glandular-verrucose. Leaves clustered on short branchlets, turnip-shaped, c. 3 mm long, smooth, silvery-lepidote except for the truncate apex. Flowers solitary, terminal to short branchlets, sessile, subtended by 2 lepidote linear bracteoles c. 1 mm long. Calyx broadly turbinate, 1.5-3 mm high including the deltate-acuminate teeth c. 1/2 its length, closely silvery-lepidote. Petals obovate to broadly elliptic, 4-5.2 mm long, 2.5-3.7 mm wide, white, silvery abaxially. Cocci erect, 2.5-3 mm high; apex rounded."
Dryandra fililoba,"Tangled shrub to 1 m, without lignotuber. Stems tomentose and hirsute. Leaves: petiole 5-15 cm long; lamina deeply pinnatipartite, 15-30 cm long, 7-14 cm wide; margins recurved to revolute; lobes 10-17 each side at 70°-90°, linear, acute, pungent; several to many small leaves 5-15 cm long with filiform lobes subtending inflorescence. Inflorescence terminal; involucral bracts ovate to oblong, obtuse, rusty-silky-villous and densely ciliate; innermost bracts to 25-42 mm long; flowers 55-80 per head. Perianth 50-53 mm long, pale yellow with pale gold limb, densely curled-villous above base, curled-tomentose distally; limb 15-18 mm long, acute, silky with long apical tuft. Pistil 49-52 mm long, cream, glabrous; pollen presenter narrowed, 12-15 mm long, ribbed. Follicles obovate, somewhat oblique across upper margin, 17 mm long, somewhat villous but hairs wearing off."
Silene apetala var. apetala,See Silene apetala Willd.
Triodia fitzgeraldii,"Plants forming hummocks c. 0.3 m high, c. 0.45 m wide, stoloniferous. Flowering culms c. 0.6 m high. Leaves: sheath pubescent or hirsute, brown; orifice with shiny hairs to 2 mm long, scabrous; blade straight or flexuose, folded, 9-20 cm long, 0.9-1.3 mm wide, with thick pseudopetiole. Panicles continuous or interrupted near base, 25-30 cm long, 0.5 cm wide; branches flexuose, 3-6 cm long, filiform. Spikelets ovate, 4-6 mm long, 3 mm wide, closely 4-6-flowered; pedicel 0.5-3 (-5) mm long. Glumes ±equal, ovate-oblong, c. 3 mm long, entire, acute or obtuse, muticous, glabrous. Callus hirsute. Basal lemma lanceolate-ovate, 3-4 mm long, scarious, hirsute near base and along midnerve; lobes about 1/4 total length; midlobe narrower than laterals, often subulate. Palea slightly exceeding lemma body, scarious, mostly glabrous; keels winged, exposed in situ. Anthers not seen."
Lomandra confertifolia subsp. rubiginosa,"Stems elongated, usually somewhat decumbent, rather stout. Leaves concavo-convex or channelled, 15-50 cm long, 0.3-1.5 mm wide; sheath margins lacerated, dark brown or reddish brown. Male inflorescence 0.2-0.5 times as long as leaves, unbranched or with a few short branches; branches alternate; scape exposed for 1-12 cm; flowers in whorled clusters or 1-few-flowered alternate clusters. Female inflorescence poorly known, unbranched; scape short, exposed. Cluster bracts 0.5-4 cm long, shorter to longer than flower; bract and inner bract brown."
Gonocarpus urceolatus,"Herb to 30 cm tall. Stems smooth, pilose. Leaves opposite, widely spaced, sessile, ovate, sparsely pilose; lamina 15-22 mm long; margins thickened, hyaline, with 10-12 coarse teeth. Bracts alternate, lanceolate, 2.5-3 mm long, green, margins entire, thickened and hyaline; bracteoles digitate, 0.3 mm diam., yellow-brown. Flowers 4-merous; pedicel 0.8 mm long. Sepals lanceolate, 1 mm long, green; margins thickened, hyaline; basal callus. Petals 2.5 mm long, green to deep red. Stamens 8; anthers 1.8 mm long. Ovary 8-ribbed with 2 oblique calluses between each pair of ribs, shiny, deep reddish purple, ribs and calluses silver-grey. Fruit urceolate, 2 mm long including sepals, silver-grey."
Solanum inaequilaterum,"Shrub to c. 2 m, green or dark green, the young leaves often purplish; leaves sparsely pubescent with stellate hairs, the hairs rarely dense on lower surface; simple and glandular hairs also on pedicel and calyx; prickles 5-12 mm long, dense on main stems, scattered to abundant on leaves and peduncle, absent from pedicel and calyx. Leaves elliptic, concolorous. Juvenile leaves with lamina up to 20 cm long and 15 cm wide, deeply lobed; petiole to 5 cm long. Mature leaves with lamina 4-15 cm long, 2-5 cm wide, entire to shallowly lobed; petiole 1-3 cm long. Inflorescence often congested, 1-10-flowered; peduncle 10-15 mm long; pedicels 5-10 mm long. Calyx 8-10 mm long; lobes linear-lanceolate, 5-8 mm long. Corolla broadly stellate, 25-35 mm diam., blue. Anthers 5-6 mm long. Berry globular to slightly ovoid, 10-20 mm diam., scarlet; fruiting pedicel 20-25 mm long, thickened in upper half. Seeds 3-3.5 mm long, pale or light brown."
Maireana integra,"Shrub to 1 m high. Branches woolly. Leaves alternate, semiterete, 5-14 mm long, 1 mm wide, obtuse, woolly. Flowers solitary, bisexual. Fruiting perianth pale to dark brown when dry; tube hemispherical, 1 mm high, 2.5 mm wide at apex, faintly costate, crustaceous, glabrous; wing simple, without a radial slit, horizontal, c. 10 mm diam., glabrous; upper perianth flat, pubescent."
Acacia enterocarpa,"Dense spreading shrub to 1.5 m high. Branchlets asperulate, reddish brown, ribbed. Phyllodes subsessile, patent to inclined, straight to shallowly recurved, subterete to compressed, 2-4.5 cm long, 1-1.3 mm wide, pungent, rigid, glabrous, asperulate, sometimes viscid, with 10-12 distant raised asperulate veins. Inflorescences simple, 1-4 per axil; peduncles 3-5 mm long, somewhat thick, appressed-puberulous; heads globular, 3.5-4.5 mm diam., ±20-flowered, bright yellow. Flowers 5-merous; sepals free. Pods undulate, to ±2 cm long, 2 mm wide, coriaceous, brown with thickened yellow margins, sparsely appressed-puberulous. Seeds longitudinal, oblong to elliptic, ±3 mm long, dull, dark brown to black; aril apical."
Macarthuria apetala,"Erect subshrub to 30 cm tall, glabrous or rarely with some poorly developed papillae on vegetative parts. Stems terete, wiry or ± stout, greenish to red-brown, often glaucous when dried. Leaves present mainly towards the base of the stems and on young growth, becoming progressively reduced further up the stems, sessile to obscurely petiolate; lamina narrowly to linear-obovate, or narrowly elliptic to linear, 1.2-30 mm long, 0.3-3 mm wide, base very narrowly cuneate to attenuate, apex acute to narrowly acute or very shortly acuminate. Inflorescence of 1-20 flowers in generally somewhat condensed cymes, inserted laterally (or rarely terminally) on the stems. Bracts broadly triangular to triangular, 0.5-1.5 mm long, herbaceous with a narrow scarious margin, brown. Pedicels 1-3 mm long. Sepals elliptic to broadly elliptic, 1.3-2.3 mm long, herbaceous (inner 2 less strongly so), with a narrow scarious margin. Petals usually absent, if present, narrowly to very narrowly obovate to very narrowly elliptic or (rarely) obovate, 0.7-1.8 mm long, base attenuate, not clawed. Staminal ring about half as long as ovary; free filaments 0.3-1.2 mm long; anthers 0.3-0.5 mm long. Ovary 1-1.3 mm long, with 1 ovule per locule; style branches 0.2-0.5 mm long. Fruit ovoid to ± globular, 1.5-3 mm long. Seeds broadly comma-shaped, 1.2-1.7 mm long, black, tuberculate to pusticulate, shiny; aril large."
Acacia calcicola,"Rounded shrub or straggly tree 3-5 m high, often many-stemmed from base; canopy spreading and bushy. New shoots resinous, bright green and often yellow appressed-puberulous. Branchlets apically hoary or silvery appressed-puberulous. Phyllodes variable, narrowly linear to linear-oblanceolate or very narrowly elliptic, straight to shallowly curved, 5-14 cm long,1-10 mm wide, normally ± uncinate, coriaceous, densely hoary or silvery appressed-puberulous, obscurely multistriate. Inflorescences 2-5-headed racemes; raceme axes normally 3-15 mm long, yellow or silvery appressed-puberulous; peduncles 2-8 mm long, with indumentum as on raceme axes; heads globular, 3-4 mm diam., 30-60-flowered, golden. Flowers 5-merous; sepals ± free. Pods ±moniliform, to 12 cm long, 4-8 mm wide, ± woody, wrinkled over seeds, appressed-puberulous. Seeds longitudinal, elliptic, 6-8 mm long, dull, khaki-brown; aril clavate."
Atriplex eardleyae,"Decumbent to erect perennial herb to 30 cm high, monoecious. Leaves elliptic to orbicular, c. 10 mm long, entire; base cuneate and passing into a short petiole or subsessile. Male flowers in small glomerules in distal leaf axils usually with a few female flowers. Female flowers in scattered glomerules along branches. Fruiting bracteoles with a compressed narrow campanulate to deltoid tube, c. 1-2 mm long which expands into appressed fan-shaped to reniform reticulate sinuate valves ± equal in length to tube, the adaxial valve slightly shorter than the abaxial; tube with a pair of small leaf-like appendages on adaxial surface near base or these sometimes lacking; stipe slender or stout, shorter than to slightly exceeding length of tube."
