"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Carex jackiana","Rhizome long; shoots ± densely tufted, often forming a dense sward to c. 1 m or more in diam. Culms very short, hidden amongst leaves, ± trigonous, ± smooth, 1–6 cm long, c. 0.7 mm diam. Leaves dark green or grey green, much exceeding culms, 5–20(–30) cm long, 2.5–7 mm wide, the margins scabrous; sheath yellow-brown; ligule obtuse to retuse. Inflorescence narrow, erect, 1–3 cm long, with 3–7 spikes solitary at nodes; lowest involucral bracts exceeding inflorescence. Spikes sessile, contiguous, erect at maturity, 0.8–1.5 cm long; uppermost spike entirely male or rarely with female flowers above; lower spikes female; glumes acute to acuminate, often long-mucronate (mucro to 2 mm long), whitish to pale red-brown with green midrib; female glumes 2.5–5 mm long, deciduous at maturity; utricles 4–6.5 mm long, 1.3–2.5 mm diam., fusiform-ellipsoid, thickened at base, faintly many-nerved, gradually tapering to the long conical beak, glabrous, greenish to pale yellow-brown, deciduous at maturity; beak 1–2 mm long, with apex notched to split; style 3-fid. Nut obovoid to ellipsoid, trigonous, pale yellow-brown or pale brown. Flowers summer.","  ",,,,,,,,,,
"Taraxacum sect. Hamata","Leaves lanceolate to oblanceolate, c. 5–40 cm long, glabrescent; hamately and bluntly lobed; petioles and leaf midribs striate, i.e. with interwoven purple and green strands on upper surface (stomata present only on green strands). Capitula c. 4.5 cm diam.; outermost involucral bracts erect, patent or recurved, usually to different degrees within a single capitulum, ovate to ovate-lanceolate, c. 8–12 mm long, bordered or unbordered, not callus-tipped, glaucous on upper surface, dark green on lower surface; marginal ligules far exceeding involucre; pollen present; stigmas greenish-yellow. Cypselas turbinate, 3–4 mm long, pale to dark brown, spinulose or smooth at apex, smooth in lower two thirds; cone conical, 0.3–0.7 mm long; beak more than 3.5 mm long, always longer than cypsela body; pappus 5–6 mm long. Flowers Sept.–Apr.","  ",,,,,,,,,,
"Isolepis australiensis","Small tufted annual. Culms filiform, to 15 cm high. Leaves to 3 cm long. Spikelets 1–3 per inflorescence, 2–4 mm long; involucral bract (rarely 2 bracts) erect or spreading, to 10 mm long; glumes acute, excurved, not or scarcely mucronate, sides nerveless or rarely with 1 nerve near keel, with hyaline sides (often tinged red-brown), 0.8–1.2 mm long; stamens 1–3; style 3-fid. Nut ± equally trigonous, obovoid, minutely verrucose or papillose, glistening, pale brown to dark red-brown, from one-half to two-thirds as long as glume, 0.4–0.6 mm long, c. 0.3 mm diam. Flowers spring–summer."," small tufted annual. ","annual","annual",,,,,,,,
"Pomaderris aurea","Shrub 0.5–2 m high; branchlets loosely grey- or rusty-villous. Leaves ovate or elliptic, 15–50 mm long, 8–20 mm wide, obtuse or acute, upper surface subvelutinous with stellate and/or simple hairs, lower surface with sparse rusty, subappressed simple hairs (denser on veins) overlying dense greyish stellate hairs, secondary veins apparent; stipules 4–9 mm long, deciduous. Inflorescence a rounded or c. pyramidal panicle, c. 3–5 cm diam.; bracts deciduous or weakly persistent. Flowers golden yellow, greyish externally with close stellate, and mid-dense simple hairs; pedicels 2–3 mm long; hypanthium 1.4–1.8 mm long; sepals 2–2.5 mm long, deciduous; petals narrow- to broad-spathulate, 1.5–2 mm long; disc absent; ovary virtually inferior, summit simple-pubescent, style branched in upper half. Operculum membranous, c. half mericarp length. Flowers Sep.–Oct."," shrub 0.5–2 m high; ",,,"shrub","shrub",,,,,,
"Pentameris pallida","Caespitose biennial or weak perennial; culms erect, to 45 cm high. Leaves pilose overall and often with small, saucer-shaped glands on the margins and near-marginal veins; blade flat or somewhat incurved, to 6 cm long and 2 mm wide; ligule ciliate, 1–1.5 mm long with tufts of longer hairs at the sides. Inflorescence a fairly dense, more or less ovoid panicle, 2–6 cm long and up to 2 cm wide; panicle branches sometimes glandular (but not noted on Victorian specimens). Spikelets 2-flowered, 3–5 mm long (excluding awns), the florets (excluding awns) considerably shorter than the subequal, slightly gaping, acuminate glumes; lemmas oblong, the body 2–2.5 mm long, with scattered to moderately dense pale hairs dorsally, dense on the callus, central awn shining brown, 6–9 mm long, bent below halfway, lateral awns pale, c. 2 mm long, remaining straight; palea narrowly oblong, about as long as body of lemma; anthers c. 1.5 mm long. Flowers Dec.–Feb. (3 records)"," caespitose biennial or weak perennial; ","biennial perennial","biennial perennial",,,,,,,"caespitose","caespitose"
"Cyperus brevifolius","Slender perennial with long slender rhizome. Culms solitary, triquetrous, smooth, 5–40 cm high, 0.7–1.5 mm diam. Leaves not septate-nodulose, shorter than culms, 1–3 mm wide. Inflorescence head-like, ovoid or subglobose, 4–10 mm long, 3–7 mm diam., rarely with 1 or 2 small subsidiary heads; involucral bracts leaf-like, 2–5 longer than inflorescence. Spikelets flattened, sometimes exceeding 100 per head, 2–4 mm long, c. 1 mm wide in side view, 1(–2)-flowered, falling as a unit; glumes short-mucronate, with toothed or occasionally smooth keel, sides 2–3-nerved, whitish to pale brown, 1–4 mm long; stamens 1(–3). Nut biconvex, obovate to elliptic, yellow-brown, 1–1.5 mm long, 0.5–0.7 mm wide. Flowers spring–summer."," slender perennial with long slender rhizome. ","perennial","perennial",,,,,,,"rhizomatous","rhizome"
"Prostanthera hirtula","Spreading shrub, 0.4–2 m high, to 2.5 m diam., strongly aromatic; branches densely covered with spreading hairs. Leaves narrowly ovate to narrowly elliptic, 10–30 mm long, 1.5–6 mm wide, mid-green, moderately to densely covered in c. spreading, coarse, rigid hairs on upper surface, densely glandular on lower surface, base shortly attenuate, margin entire, recurved to strongly revolute, apex subacute; petiole 0.5–2 mm long. Flowers in a terminal racemose inflorescence that is often leafy basally; bracteoles persistent, c. 2 mm long, 0.5–0.6 mm wide. Calyx 5–7 mm long, tube c. 3 mm long, adaxial lobe 2–4 mm long (slightly enlarged in fruit); corolla dark mauve, 8–10 mm long; anther appendage c. 0.5 mm long. Flowers spring."," spreading shrub, 0.4–2 m high, to 2.5 m diam., strongly aromatic; ",,,"shrub","shrub",,,,,"spreading","spreading"
"Brachypodium sylvaticum subsp. sylvaticum","Slender tufted perennial, culms erect, to 80 cm high, nodes, culms and sheaths pubescent. Leaf blades flat, to c. 30 cm long and 10 mm wide, pilose; ligule membranous, truncate or obtuse, 1–5 mm long. Inflorescence a raceme of up to 8(–12) spikelets; pedicels 0.5–2 mm long. Spikelets narrow-lanceolate, 18–40 mm long (excluding awns), 8–16-flowered; lower glume 5–7-nerved, 6–8 mm long, upper glume 7–9-nerved, 8–11 mm long. both glumes cilate, at least on margin; body of lemma 7–11 mm long, margin ciliate in upper half, awn about as long as lemma body; palea equal to or slightly shorter than body of lemma, ciliate along margins in upper half. Flowers Jan.–Feb. (2 records)"," slender tufted perennial, culms erect, to 80 cm high, nodes, culms and sheaths pubescent. ","perennial","perennial",,,,,,,"erect","erect"
"Solanum styleanum","Sprawling annual herb to 50 cm high, pale to dark green, pubescent with glandular hairs; prickles absent. Leaves ovate, mostly 4–6 cm long, 1–4 cm wide, apex acute or acuminate, base truncate to cuneate, margins entire or shallowly lobed, slightly discolorous, both surfaces sparsely pubescent to glabrescent; petiole 0.5–2 cm long. Inflorescences simple, 2–8(–10)-flowered; peduncle c. 1 cm long. Flowers on pedicels 4–10 mm long; calyx 1.5–2.5 mm long, accrescent in fruit, lobes broad-triangular, 1–2 mm long; corolla stellate, 12–14 mm diam., white, lobes ovate to oblong; anthers 1.5–2 mm long. Berry broad-ovoid, 6–9 mm diam., green to purplish-green; seeds 1.8–2 mm long, light brown; stone-cell granules 0.4–0.8 mm diam.  Flowers mostly summer."," sprawling annual herb to 50 cm high, pale to dark green, pubescent with glandular hairs; . ","annual","annual","herb","herb",,,,,"sprawling","sprawling"
"Trianthema","Prostrate or diffuse, annual or perennial herbs, sometimes becoming woody at the base. Leaves opposite, entire, linear, terete or flat, glabrous or papillose; petiole dilated at base. Flowers axillary, clustered, sessile, each subtended by one or more bracts; perianth segments 5, fused into a short tube, lobes unequal, margins scarious, sometimes with a small dorsal mucro below the apex; stamens 5–many, fused to perianth tube; ovary superior to half-inferior, 1-locular; style 1; ovules 2–many. Fruit a membranous or woody circumsciss capsule, the ‘lid’ usually splitting near the base, perianth usually persistent; seeds 1–many, triangular, reniform or comma-shaped, smooth or patterned, often pappilose, black."," prostrate or diffuse, annual or perennial herbs, sometimes becoming woody at the base. ","annual perennial","annual perennial","herb","herbs",,,,,"prostrate","prostrate"
"Digitaria divaricatissima var. divaricatissima","Shortly rhizomatous perennial. Culms erect, to c. 50 cm high, base of plant thickened and hairy. Leaves velutinous to glabrous (usually the lower leaves hairier than upper); blade flat, 5–20 cm long, 2–7 mm wide; ligule obtuse, to c. 4 mm long. Panicle 8–25 cm long, with widely spreading, angular branches, the lowermost usually whorled, to 20 cm long. Spikelets acute, 3–4.5 mm long, mostly paired, on unequal pedicels, the longer to c. 3 mm; lower glume ovate, 0.4–1.2 mm long; upper glume 3–7-nerved, triangular, slightly shorter than the spikelet, with fine silky hairs all over or confined to the margins, often spreading sideways; lower lemma 7-nerved, as long as the spikelet, densely ciliate along the margin, and internerves, occasionally the internerve space adjacent to the mid-nerve glabrous; palea of lower floret vestigial or absent; upper (bisexual) floret about as long as upper glume, lemma narrow-elliptic, shortly acuminate, slightly rounded dorsally, finely granular. Flowers Nov.–Jun."," shortly rhizomatous perennial. ","perennial","perennial",,,,,,,"rhizomatous","rhizomatous"
"Surreya diandra","Rather dense, spreading subshrub, to c. 1 m diam., 20 cm high. Stems and leaves wholly glabrous or very sparsely papillate on new growth. Leaves alternate, sessile, with partly sheathing bases, linear, c. 1 cm long, 1–2 mm wide, broadly concave on upper surface, usually recurved and shortly pointed at apex. Flowers sessile; bracteoles narrowly ovate, c. 3 mm long; tepals narrowly ovate, 4–5 mm long, acute, white or pink; stamens 2, united on one side of ovary; style c. 2 mm long, bifid to c. 0.5 mm below apex. Utricle ovoid, 2–3 mm long. Flowers Nov.–Jan."," rather dense, spreading subshrub, to circa 1 m diam., 20 cm high. ",,,"subshrub","subshrub",,,,,"spreading dense","spreading dense"
"Lobelia","Prostrate to erect annual or perennial herbs, producing milky sap. Leaves cauline, alternate, sometimes appearing distichous, entire to lobed. Flowers axillary and solitary, or in racemes or cymes, bisexual and protandrous, or unisexual (females often smaller); bracteoles inconspicuous or absent. Hypanthium c. oblique, sometimes gibbous; corolla slightly to strongly zygomorphic, 2-lipped or sometimes fan-shaped, lobes subequal or the upper 2 markedly dissimilar from lower 3, tube usually deeply slit to near base on upper side; staminal filaments adnate to or to shortly above base of corolla-tube, anthers connate in a tube, dorsal 3 anthers longer than ventral 2, ventral pair or all 5 anthers densely penicillate at tip, the ventral anthers sometimes with a longer apical seta; ovary 2-locular; stigma 2(rarely 3)-lobed, the lobes hemispherical to broadly oblong, surrounded by a brush of tiny hairs or with hairs in a band on the back of the lobes. Fruit a capsule or indehiscent and fleshy or dry; seeds numerous, terete, lenticular or angular, smooth, reticulate or ridged, rarely winged or pitted."," prostrate to erect annual or perennial herbs, producing milky sap. ","annual perennial","annual perennial","herb","herbs",,,,,"erect prostrate","erect prostrate"
"Polyscias","Monoecious (rarely dioecious) small to large trees, or shrubs. Leaves imparipinnate (up to 3 orders of division) or trifoliolate or unifoliolate, clustered at branch tips; stipules absent or drawn into two small ligules, or alate and fused to the petiole; rachis nodes constricted and articulated with the petiolules. Inflorescences terminal, compound (rarely simple) umbels or panicles (or corymbs). Flowers aggregated into umbels or solitary; pedicellate (or sessile); pedicels usually articulated with the ovary base, bisexual or unisexual; calyx minutely toothed or with an undulate rim; petals and stamens usually 4 or 5 (rarely to 8 or more); ovary (1–)2–5(–many)-locular, styles as many as ovary locules, free or variously connate, persistent. Fruit a succulent drupe, spherical or laterally compressed."," monoecious (rarely dioecious) small to large trees, or shrubs. ",,,"shrub tree","shrubs trees",,,"dioecious monoecious","dioecious monoecious",,
"Glossocardia","Annual or perennial herbs. Leaves basal and cauline, petiolate, alternate, sometimes opposite above, simple to pinnatisect. Capitula radiate, in loose terminal cymes or solitary on scape-like peduncules; involucral bracts 1–4-seriate, outer ones herbaceous, inner ones with scarious margins; receptacle flat to slightly convex, with scarious caducous scales. Ray florets 0–12, female or sterile, 1-seriate, ligulate, yellow, white, pink, reddish or purple; style with short glabrous branches. Disc florets numerous, bisexual or functionally male; corolla campanulate, 4- or 5-lobed, yellow to brownish; anthers obtuse at base, with a short apical appendage; style bilobed, branches filiform, with subulate terminal appendages. Cypselas oblong to linear-lanceolate, strongly compressed, ribbed, black; pappus of 2 barbed awns or a small corona."," annual or perennial herbs. ","annual perennial","annual perennial","herb","herbs",,,,,,
